case_id,category,split,replay_verified,tx_hash,frame_index,depth,parent,call_tree,kind,target_address,target_role,function,decoded,value,gas,outcome,args_preview,events_preview,is_gt_vuln_function,role,essential,annotator,notes
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,1,0,,[CREATE] 0x4985DB..7238.new <unknown>(),CREATE,0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238,attack_contract,new <unknown>,yes,,823108,Return,,,,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,2,1,1,  [STATICCALL] 0x9A1aEF..2a54.balanceOf(),STATICCALL,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54,victim,balanceOf,yes,,2496,Return,0x6a8C4448763C08aDEb80ADEbF7A29b9477Fa0628,,,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,3,1,1,  [CALL] 0x9A1aEF..2a54.mint(),CALL,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54,victim,mint,yes,,32440,Return,"0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238, 146965900202189951396348800 [1.469e26], """"","Transfer(from: 0x0000000000000000000000000000000000000000, to: 0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238, amount: 146965900202189951396348800 [1.469e26]) | top...",yes,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,4,1,1,  [STATICCALL] 0x9A1aEF..2a54.balanceOf(),STATICCALL,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54,victim,balanceOf,yes,,496,Return,0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238,,,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,5,1,1,  [CALL] 0x9A1aEF..2a54.approve(),CALL,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54,victim,approve,yes,,24607,Return,"0x10ED43C718714eb63d5aA57B78B54704E256024E, 146965900202189951396348800 [1.469e26]","Approval(owner: 0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238, spender: 0x10ED43C718714eb63d5aA57B78B54704E256024E, amount: 146965900202189951396348800 [1.469e26])",,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,6,1,1,  [CALL] 0x10ED43..024E.swapExactTokensForTokensSupportingFeeOnTransferTokens(),CALL,0x10ED43C718714eb63d5aA57B78B54704E256024E,,swapExactTokensForTokensSupportingFeeOnTransferTokens,yes,,89932,Stop,"146965900202189951396348800 [1.469e26], 0, [0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54, 0x55d398326f99059fF775485246999027B3197955], 0x9bf2c7C21f3C488A1855Dcd49...",,,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,7,2,6,    [CALL] 0x9A1aEF..2a54.transferFrom(),CALL,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54,victim,transferFrom,yes,,8979,Return,"0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238, 0x6a8C4448763C08aDEb80ADEbF7A29b9477Fa0628, 146965900202189951396348800 [1.469e26]","Transfer(from: 0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238, to: 0x6a8C4448763C08aDEb80ADEbF7A29b9477Fa0628, amount: 146965900202189951396348800 [1.469e26]) | App...",,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,8,2,6,    [STATICCALL] 0x55d398..7955.balanceOf(),STATICCALL,0x55d398326f99059fF775485246999027B3197955,,balanceOf,yes,,2531,Return,0x9bf2c7C21f3C488A1855Dcd49158841C23e5c35b,,,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,9,2,6,    [STATICCALL] 0x6a8C44..0628.getReserves(),STATICCALL,0x6a8C4448763C08aDEb80ADEbF7A29b9477Fa0628,,getReserves,yes,,2893,Return,,,,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,10,2,6,    [STATICCALL] 0x9A1aEF..2a54.balanceOf(),STATICCALL,0x9A1aEF8C9ADA4224aD774aFdaC07C24955C92a54,victim,balanceOf,yes,,496,Return,0x6a8C4448763C08aDEb80ADEbF7A29b9477Fa0628,,,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,11,2,6,    [CALL] 0x6a8C44..0628.swap(),CALL,0x6a8C4448763C08aDEb80ADEbF7A29b9477Fa0628,,swap,yes,,62310,Stop,"90488670389646322334139 [9.048e22], 0, 0x9bf2c7C21f3C488A1855Dcd49158841C23e5c35b, 0x","Sync(: 1814309180744788417728 [1.814e21], : 149905218206233750424275776 [1.499e26]) | Swap(param0: 0x10ED43C718714eb63d5aA57B78B54704E256024E, param1: 0, param2...",,,,,
C03,access_control,test,no,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,12,3,11,      [CALL] 0x55d398..7955.transfer(),CALL,0x55d398326f99059fF775485246999027B3197955,,transfer,yes,,27971,Return,"0x9bf2c7C21f3C488A1855Dcd49158841C23e5c35b, 90488670389646322334139 [9.048e22]","Transfer(from: 0x6a8C4448763C08aDEb80ADEbF7A29b9477Fa0628, to: 0x9bf2c7C21f3C488A1855Dcd49158841C23e5c35b, amount: 90488670389646322334139 [9.048e22])",,,,,
