case_id,category,split,replay_verified,tx_hash,frame_index,depth,parent,call_tree,kind,target_address,target_role,function,decoded,value,gas,outcome,args_preview,events_preview,is_gt_vuln_function,role,essential,annotator,notes
C01,access_control,dev,yes,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,1,0,,[CALL] 0x2Df9c1..31e0.233805fb(),CALL,0x2Df9c154fe24D081cfE568645Fb4075d725431e0,attack_contract,233805fb,no,,179945,Stop,,,,,,,
C01,access_control,dev,yes,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,2,1,1,  [STATICCALL] 0xBcB8b7..dCD9.balanceOf(),STATICCALL,0xBcB8b7FC9197fEDa75C101fA69d3211b5a30dCD9,,balanceOf,yes,,2624,Return,0xd2869042E12a3506100af1D192b5b04D65137941,,,,,,
C01,access_control,dev,yes,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,3,1,1,  [CALL] 0xd28690..7941.migrateStake(),CALL,0xd2869042E12a3506100af1D192b5b04D65137941,victim,migrateStake,yes,,113571,Stop,"0x9bdb04493aF17eB318A23BfeFe43f07b3E58EcFb, 321154865567124596801893 [3.211e23]","Staked(param0: 0x2Df9c154fe24D081cfE568645Fb4075d725431e0, param1: 321154865567124596801893 [3.211e23])",yes,,,,
C01,access_control,dev,yes,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,4,2,3,    [CALL] 0x9bdb04..EcFb.migrateWithdraw(),CALL,0x9bdb04493aF17eB318A23BfeFe43f07b3E58EcFb,,migrateWithdraw,yes,,2773,Stop,"0x2Df9c154fe24D081cfE568645Fb4075d725431e0, 321154865567124596801893 [3.211e23]",,,,,,
C01,access_control,dev,yes,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,5,1,1,  [CALL] 0xd28690..7941.withdrawAll(),CALL,0xd2869042E12a3506100af1D192b5b04D65137941,victim,withdrawAll,yes,,46029,Stop,false,topic 0: 0xd1c19fbcd4551a5edfb66d43d2e337c04837afda3482b42bdf569a8fccdae5fb topic 1: 0x0000000000000000000000002df9c154fe24d081cfe568645fb4075d725431e0 data: 0x...,,,,,
C01,access_control,dev,yes,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,6,2,5,    [CALL] 0xBcB8b7..dCD9.transfer(),CALL,0xBcB8b7FC9197fEDa75C101fA69d3211b5a30dCD9,,transfer,yes,,27870,Return,"0x2Df9c154fe24D081cfE568645Fb4075d725431e0, 321154865567124596801893 [3.211e23]","Transfer(from: 0xd2869042E12a3506100af1D192b5b04D65137941, to: 0x2Df9c154fe24D081cfE568645Fb4075d725431e0, amount: 321154865567124596801893 [3.211e23])",,,,,
C01,access_control,dev,yes,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,7,1,1,  [STATICCALL] 0xBcB8b7..dCD9.balanceOf(),STATICCALL,0xBcB8b7FC9197fEDa75C101fA69d3211b5a30dCD9,,balanceOf,yes,,624,Return,0x2Df9c154fe24D081cfE568645Fb4075d725431e0,,,,,,
C02,access_control,test,yes,0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,1,0,,[CALL] 0x6980a4..BDD0.9846cd9e() value=998,CALL,0x6980a47beE930a4584B09Ee79eBe46484FbDBDD0,attack_contract,9846cd9e,no,998,183217,Stop,0000000000000000000000000000000000000000018400000000fdac7708d0d360bddc1bc7d097f47439fa461e33fffffffffffffffffffffffffffffffffffffffffffffffffffffff8510bf6000000...,,,,,,
C02,access_control,test,yes,0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,2,1,1,  [CALL] 0x000000..7439.uniswapV3SwapCallback(),CALL,0x00000000FdAC7708D0D360BDDc1bc7d097F47439,,uniswapV3SwapCallback,yes,,161576,Stop,"-33000000000 [-3.3e10], 6463332789527457985 [6.463e18], 0x0000000000000000000000006980a47bee930a4584b09ee79ebe46484fbdbdd00000000000000000000000000cc396f558aae5...",,,,,,
C02,access_control,test,yes,0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,3,2,2,    [CALL] 0x45f4d6..6b8f.swap(),CALL,0x45f4d60405b797a2b0e5eA581fe6EA445CB46b8f,,swap,yes,,156955,Return,"0x6980a47beE930a4584B09Ee79eBe46484FbDBDD0, true, -6463332789527457985 [-6.463e18], 4295128740 [4.295e9], 0x00000000000000000000000045f4d60405b797a2b0e5ea581fe6...","Swap(param0: 0x00000000FdAC7708D0D360BDDc1bc7d097F47439, param1: 0x6980a47beE930a4584B09Ee79eBe46484FbDBDD0, param2: 12479437103825582622058 [1.247e22], param3:...",,,,,
