case_id,name,category,split,chain,tx_hash,frames,max_depth,staticcalls,delegatecalls,undecoded,events,replay_mode,replay_faithful,fidelity_note,gt_functions,gt_frame_hits
C01,Templedao,access_control,dev,eth,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,7,2,2,0,1,3,quick,True,gas matches chain (173509),migrateStake,3
C02,Paraswap,access_control,test,eth,0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,12,4,3,0,1,5,quick,True,gas matches chain (205473),transferfrom,7
C03,Melo,access_control,test,bsc,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,15,3,8,0,0,8,full,False,gas differs: replay 897010 vs chain 913452,mint,3
C04,Uerii Token,access_control,test,eth,0xf4a3d0e01bbca6c114954d4a49503fc94dfdbc864bded5530b51a207640d86b5,31,5,7,6,1,12,quick,True,gas matches chain (2608023),mint,2;3
C05,CowSwap,arbitrary_external_call,dev,eth,0x90b468608fbcc7faef46502b198471311baca3baab49242a4a85b73d4924379b,7,2,4,0,0,1,quick,True,gas matches chain (58349),envelope,4
C06,Seneca,arbitrary_external_call,test,eth,0x23fcf9d4517f7cc39815b09b0a80c023ab2c8196c826c93b4100f2e26b701286,3,2,0,1,0,1,quick,True,gas matches chain (68921),performOperations,2
C07,ChaingeFinance,arbitrary_external_call,test,bsc,0x21d8b164f0cb8beb1ed27d164ed986c3fc26b33655ce18226b05b9cfcf6cd93c,11,2,6,0,1,3,quick,True,gas matches chain (101327),swap,4
C08,Dexible,arbitrary_external_call,test,eth,0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,38,6,11,13,1,10,quick,True,gas matches chain (298633),fill;selfSwap,8;9;10;11
C09,Umbrella Network,arithmetic,dev,eth,0x33479bcfbc792aa0f8103ab0d7a3784788b5b0e1467c81ffbed1b7682660b4fa,4,3,0,0,2,2,quick,True,gas matches chain (140841),withdraw,3
C10,Pandora,arithmetic,test,eth,0x7c5a909b45014e35ddb89697f6be38d08eff30e7c3d3d553033a6efc3b444fdd,18,2,8,0,0,747,quick,True,gas matches chain (21312850),transferFrom,3;8
C11,MetaLend,arithmetic,test,eth,0x4c684fb2618c29743531dec9253ede1b757bda0b323dc2f305e3b50ab1773da7,128,13,66,21,2,29,quick,True,gas matches chain (1106358),redeemUnderlying,75
C12,Balancer,arithmetic,test,eth,0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d,140,10,47,36,2,49,quick,True,gas matches chain (1813682),onSwap,22;33;39;46;49;67;70;89
C13,HedgeyFinance,business_logic,dev,eth,0x2606d459a50ca4920722a111745c2eeced1d8a01ff25ee762e22d5d4b1595739,5,2,1,2,0,1,quick,True,gas matches chain (76113),transferFrom,4;5
C14,WIFCOIN_ETH,business_logic,test,eth,0xda8f6a4bed7e5689a343d111632d37480c0316f1d20b732803c4bd482823e284,19,3,10,0,0,8,quick,True,gas matches chain (316348),stake,15
C15,DAppSocial,business_logic,test,eth,0xbd72bccec6dd824f8cac5d9a3a2364794c9272d7f7348d074b580e3c6e44312e,46,4,8,10,4,20,quick,True,gas matches chain (831620),LockTokens,8;25
C16,EulerFinance,business_logic,test,eth,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,151,11,59,36,31,56,quick,True,gas matches chain (1949994),donateToReserves,64
C17,Formation.Fi,price_oracle_manipulation,dev,eth,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,21,4,7,0,1,12,quick,True,gas matches chain (238750),swapIn,12
